FamilySupportScore,WorkFamilyConflict,Sleep,JobStress,Role
128.4040894,178.7413902,5.625242729,205.6768962,MANAGER
29.79726276,30.8391425,4.51655406,42.68595167,MANAGER
29.80992167,27.21100316,5.475288816,28.6109919,MANAGER
34.40526983,18.55394321,6.184183199,35.34861835,IC Role
25.77750064,22.7262743,5.863163753,20.18154224,IC Role
22.38426801,23.43992924,3.636932205,26.50591355,IC Role
27.78337302,16.94370659,6.09954866,25.17376246,IC Role
29.11282638,11.08133907,9.294785123,22.63076973,IC Role
27.75984292,21.4409771,5.74331651,30.94610579,IC Role
34.22101133,14.42097976,7.342916566,21.58046037,IC Role
27.60321071,25.01777386,8.41294371,34.76354282,IC Role
23.59353083,24.79675509,7.914890989,24.00308171,IC Role
23.7832398,19.89018158,7.845590363,30.44847424,IC Role
37.28774381,28.71226268,7.182149378,32.65876676,IC Role
29.78064718,20.86391059,8.31903337,31.85614886,IC Role
31.42977427,18.60971312,6.837022335,29.86624162,IC Role
26.62975268,28.51662933,4.983110304,38.44932407,IC Role
27.76963293,25.00152994,7.63445461,33.1197858,IC Role
24.1430891,24.20798982,7.973299038,10.27637214,IC Role
22.43419898,30.17178347,8.049864244,26.73993499,IC Role
34.11750096,29.09255195,9.049296621,23.76458889,IC Role
22.24343221,30.55480716,7.218086718,32.12971602,IC Role
22.14680095,16.52215528,5.217977688,23.86637131,IC Role
26.63229991,13.72785185,7.725419093,12.58390355,IC Role
29.30567438,24.03327541,8.487528726,23.00656754,IC Role
34.67969706,14.49599619,7.377890546,22.85283899,IC Role
30.77435083,26.02125529,6.685858918,22.80849858,IC Role
36.43127095,24.84355877,8.75649492,29.28365895,IC Role
27.08938083,25.67436193,7.422685627,17.65504532,IC Role
39.28652835,19.16350619,7.73466239,31.29553496,IC Role
27.68433559,32.8665115,9.555633992,23.29702236,IC Role
26.70082247,26.61216914,6.22045113,19.87209679,IC Role
24.3551119,20.14443572,5.960101285,14.93415507,IC Role
21.35273662,22.01126888,7.248134307,19.13463336,IC Role
31.97142669,11.92158254,7.668716942,20.94160941,IC Role
33.80935805,22.79338876,6.598165365,21.25711157,IC Role
24.06426856,25.81426733,5.154974041,32.24563901,IC Role
33.81046028,27.0714649,7.855981676,29.67920454,IC Role
23.72058992,29.26070116,9.190958485,32.20385069,MANAGER
28.72227384,26.96837396,7.817866833,21.73214693,IC Role
33.35282059,20.48907953,9.282615895,24.68044418,IC Role
33.94949793,23.89292739,8.597928112,23.28344652,IC Role
35.38662501,17.47204399,7.544246207,36.03609366,IC Role
23.95769502,31.79902395,10.21169515,22.24796662,IC Role
25.79645382,21.72273606,6.684442679,33.34504261,IC Role
26.61737375,22.23714733,9.794133341,31.05767313,IC Role
29.2742709,24.7400067,6.673583319,34.07445644,IC Role
16.86230343,22.42684764,7.546631448,27.02559494,IC Role
23.9111422,24.31599512,7.568333127,29.72609806,IC Role
23.48801123,18.29462953,7.016805557,20.55846257,MANAGER
33.39464907,30.27607381,8.017453055,28.80366636,MANAGER
37.50076825,24.2854013,6.760144507,30.91855793,MANAGER
36.75918729,13.97607001,8.533136021,26.62422189,MANAGER
29.21779611,27.16921585,8.996281739,24.69531523,IC Role
27.64246226,31.44827463,6.513976656,27.10875296,IC Role
23.37668775,33.62910673,6.797046062,22.58350214,IC Role
25.62382657,42.66872194,5.305108102,32.50391674,IC Role
25.26988973,13.32406055,7.305304537,35.40213772,IC Role
21.48515353,17.72943181,9.453104201,24.20326075,IC Role
28.94974961,11.04183009,6.412303511,28.49479815,IC Role
27.41390769,13.87009025,6.265602336,26.87485326,IC Role
23.32050313,27.81438152,6.245407673,34.1983628,IC Role
24.45106588,28.9834012,7.923216794,37.21237452,IC Role
25.56480241,32.79960897,5.793040747,39.82736125,IC Role
22.95097441,46.24598171,4.399161054,25.2507007,IC Role
28.14836268,29.63074685,6.389809502,28.44004978,MANAGER
14.39314949,32.93651701,8.423017331,31.35937924,MANAGER
26.22923212,22.89721411,6.701217531,30.27299345,MANAGER
46.88642135,21.10519265,10.04523293,33.49252912,MANAGER
21.8786033,27.67137753,6.519484062,28.11584498,IC Role
31.31104416,16.38190641,8.169942229,14.78427854,IC Role
41.83722487,16.12171321,6.972479204,9.606107475,IC Role
28.45871514,14.55492404,6.646100112,23.31986686,IC Role
28.11199227,35.33697911,6.427849184,27.9230634,IC Role
26.17381806,21.21835718,9.040709561,34.04835695,IC Role
30.17727773,34.43551407,8.309869228,25.36006709,IC Role
34.08124848,21.78720189,8.802522558,30.13429058,IC Role
29.93593963,21.63803596,7.582160015,32.33688075,IC Role
31.50344555,17.59235958,6.485245541,22.19728851,IC Role
38.11959763,17.81459111,7.144585227,25.99309846,IC Role
45.05429123,29.98559184,9.665349503,30.23520998,IC Role
23.89299693,28.51812376,6.424245661,32.57509847,IC Role
19.8497939,25.61328582,5.923680137,36.90356987,MANAGER
29.85733268,27.54211722,9.863907595,32.67875473,IC Role
34.59765252,14.9949149,7.718035084,19.15804953,IC Role
25.96170841,20.6165564,6.826043789,27.03298254,IC Role
31.08635936,20.10375073,8.191333769,29.10779687,IC Role
14.95193654,31.88915767,5.509791186,21.83798522,IC Role
32.2991051,23.30855381,6.059134164,32.69303527,IC Role
36.04061248,42.87831176,4.488490124,38.931597,IC Role
22.45417695,29.5162557,7.362849867,35.34630418,IC Role
32.4316418,29.89486817,8.045631331,26.64156917,IC Role
21.54716203,25.32751819,8.023052823,32.0322273,IC Role
16.29064051,33.31597948,8.944078287,41.6827474,IC Role
39.46292882,14.93929211,7.798220005,33.58526409,IC Role
32.98017973,19.59998132,8.789590762,35.20175508,IC Role
35.49739184,23.46921089,8.81093123,29.96622795,IC Role
24.95946133,22.88615157,6.445945363,42.57058913,MANAGER
27.39441089,25.88823672,10.42497929,36.80115846,MANAGER
21.95753739,24.68963818,8.493410099,26.49061013,MANAGER
16.89197994,26.82298915,6.589144825,29.89934523,MANAGER
31.87393833,21.83834929,6.258055963,27.68686167,IC Role
25.13881852,10.56809908,5.879464846,24.74638604,IC Role
29.41672408,17.73356497,5.901008642,26.96304997,IC Role
29.05415317,23.65665218,7.431954706,27.78466629,IC Role
34.88842833,23.27921166,6.574136298,24.72349664,IC Role
38.95379449,20.78802267,7.439450185,17.13798597,IC Role
37.20420307,16.12744814,6.261999923,30.35591693,IC Role
38.31827899,12.61435994,8.749813403,22.69000354,IC Role
25.28641978,31.0601548,6.918367327,30.99361544,IC Role
25.0223996,18.51896814,7.051653733,27.64178742,IC Role
35.11585739,23.9810588,7.022155229,21.14413911,IC Role
26.25806238,17.16676774,8.07498333,23.17135635,IC Role
48.52355946,25.3153136,6.928036593,32.37209868,IC Role
24.22263637,39.53108723,7.241917658,36.12512635,IC Role
35.13888759,11.85312381,7.373330166,26.2203912,IC Role
33.12339379,28.90638368,9.876714088,25.93913015,IC Role
48.72685796,22.31353772,9.483275975,21.7321806,IC Role
33.59067171,36.15880434,7.54746393,29.44679604,IC Role
30.89894991,22.14007372,8.267376942,27.8350909,IC Role
27.57946931,32.4757284,8.017742657,31.23351908,IC Role
40.56498655,25.96501034,9.274202136,32.75000931,IC Role
34.0044079,20.40467166,6.49428706,27.8560435,IC Role
27.53270829,19.99256501,6.057376185,24.13837611,IC Role
39.43901923,21.14712546,6.340208738,24.38049672,IC Role
28.6389624,12.53856651,7.199849366,28.48007469,IC Role
30.23984426,27.79369382,6.600270621,15.56695363,IC Role
33.5228491,28.44827551,6.934770524,27.34265999,IC Role
30.4315231,31.7418492,8.449943228,30.14441768,IC Role
24.90348332,26.41172233,5.657816053,30.29608522,IC Role
34.97340002,28.34085339,6.941057186,25.72548766,IC Role
27.08034597,30.40655821,8.069885097,29.6695064,IC Role
41.21704308,33.74779131,6.444208783,30.30894085,IC Role
40.17797245,31.71207793,6.74662468,33.19014352,IC Role
